1	624	0,0	0,0	Ah, there you are. / Your dedicated work in my LAB / has been much appreciated. / And now, your fieldwork / assignment is about to begin.
2	972	0,0	0,0	As you know, at the heart of / my research is the relationship / between POKéMON and people...
3	1266	0,0	0,0	...How they grow together / through trust, battle, / friendship... / Even evolution may be shaped / by those bonds.
4	1584	0,0	0,0	But to understand this, you / need to go where they live. / The towns, forests, caves, / shorelines, and old ruins. / I am too old for fieldwork now, / but you are just the right age / for this expedition.
5	2250	0,0	0,0	Now tell me for your / FIELD AIDE record.
6	2442	0,0	0,0	Are you a boy or a girl?
7	3516	0,0	0,0	And how do you spell / your name?
8	4020	0,0	0,0	Right… / AAAAAAA.
9	4200	0,0	0,0	This is my grandson. / Like you, he has been helping / with my research here in / PALLET TOWN. / His name is...
10	4950	0,0	0,0	His name is AAAAAAA?
11	5046	0,0	0,0	Yes. / His name is AAAAAAA. /
12	5250	0,0	0,0	AAAAAAA! / KANTO is waiting beyond the LAB. / Observe carefully, learn directly, / and trust the POKéMON at your side. / Your fieldwork begins now.
13	8646	4,1	6,6	OAK: Pay attention to how the / GYM LEADERS treat their POKéMON. / There is more to learn than / strength alone. / I also study rare POKéMON whose / instincts exceed ordinary limits. / I call them APEX POKéMON. / Listen to local accounts and / compare three in your LOGBOOK. / Together, they may reveal where / an APEX POKéMON can be found. / Be ready before you challenge one. / If you flee from its battle, / it will leave for good.
14	9876	4,1	6,6	AAAAAAA played with the NES. / …Okay! / It’s time to go!
15	10572	4,1	6,6	AAAAAAA: Hah! / Took you long enough, AAAAAAA. / I already checked DIGLETT’S CAVE. / Obviously. / People around here keep whining / that the MR. MIME vanished. / One guy even says they put up / invisible walls to avoid training. / Sounds fake... / which means Gramps will want it / written down. / So listen carefully for once. / Compare three local accounts / in your LOGBOOK. / Work out where they point. / That is where you investigate. / Try not to make me explain / fieldwork twice. / Smell ya later.
16	11982	4,1	6,6	AAAAAAA played with the NES. / …Okay! / It’s time to go!
17	12192	4,1	6,6	My father once told me he / ventured deep into VIRIDIAN / FOREST. / He heard the grumbling growls of / a shadowy figure lurking within.
18	12672	4,1	6,6	AAAAAAA played with the NES. / …Okay! / It’s time to go!
19	12852	4,1	6,6	I’m too scared to enter / VIRIDIAN FOREST. / Legends tell of the forest / coming alive and ensnaring the / wicked, never to be seen again.
20	13308	4,1	6,6	The flowers in VIRIDIAN FOREST / are so beautiful. / They seem more vibrant and grow / in number the closer you get to / the centre of the forest. / Almost like something is drawing / them inward.
21	13884	4,1	6,6	OAK: The POKéDEX signal was / almost swallowed by the forest. / So the old stories were not just / stories. / TANGROWTH may be instinct / given root and vine.
22	14334	4,1	6,6	There’s something furious and / hurt deep within this cave. / I can feel it losing control. / Maybe I should head home.
23	14700	4,1	6,6	An enormous POKéMON barged in / through the wall! / It was shaking with rage. / Completely unstoppable! / Lucky for us, it rampaged out / the door and headed west, / toward MT. MOON.
24	15246	4,1	6,6	A hulking PRIMEAPE fled in a / blind rage and took refuge / inside MT. MOON. / It was out of control, like its / feelings had boiled over! / I’ve never seen one get that / big before!
25	15486	4,1	6,6	OAK: The POKéDEX recorded extreme / emotional force. / ANNIHILAPE shows what happens / when feeling outruns control. / Be careful with such power.
26	15762	4,1	6,6	Well, isn’t this a surprise! / MR. MIME have made themselves / a little home together in / DIGLETT CAVE. / They seem intent on keeping it / all to themselves. / It leads all the way to PEWTER / CITY, wouldn’t you know!
27	16098	4,1	6,6	The MR. MIME went into DIGLETT / CAVE and erected barriers. / It’s like they built their own / little community and closed the / world out.
28	16338	4,1	6,6	This DIGLETT CAVE extends all / the way to VERMILION CITY. / Watch out for invisible walls / though! / Feels like something in there / doesn’t want visitors.
29	16584	4,1	6,6	OAK: Fascinating. The barriers / registered as a social pattern. / MIME SR. seems to protect its / group. / It turns isolation into / structure.
30	16830	4,1	6,6	I took this CUBONE away from / its mother. / Now it won’t even train with me! / Bad investment.
