01-night-north	3,17	12,60	0	0	0	0	1100	ffff	FIXED
01-night-north	3,17	12,60	1	18	15	13	1139	1139	PASS
01-night-north	3,17	12,60	2	29	2	2	1103	ffff	FIXED
01-night-north	3,17	12,60	3	198	15	14	112c	112c	PASS
01-night-north	3,17	12,60	4	22	15	13	1139	1139	PASS
02-night-south	3,17	12,70	0	0	0	0	1100	ffff	FIXED
02-night-south	3,17	12,70	3	198	15	14	112c	112c	PASS
02-night-south	3,17	12,70	5	202	15	2	1140	ffff	FAIL
03-night-return	3,17	12,60	0	0	0	0	1100	ffff	FIXED
03-night-return	3,17	12,60	1	29	2	2	1103	ffff	FIXED
03-night-return	3,17	12,60	2	22	15	13	1139	1139	PASS
03-night-return	3,17	12,60	3	198	15	14	112c	112c	PASS
03-night-return	3,17	12,60	4	18	15	13	1139	1139	PASS
04-night-repeat	3,17	12,70	0	0	0	0	1100	ffff	FIXED
04-night-repeat	3,17	12,70	3	198	15	14	112c	112c	PASS
04-night-repeat	3,17	12,70	5	202	15	2	1140	ffff	FAIL
05-day-north	3,17	12,60	0	0	0	0	1100	ffff	FIXED
05-day-north	3,17	12,60	1	18	15	13	1139	1139	PASS
05-day-north	3,17	12,60	2	29	2	2	1103	ffff	FIXED
05-day-north	3,17	12,60	3	198	15	14	112c	112c	PASS
05-day-north	3,17	12,60	4	22	15	13	1139	1139	PASS
06-day-south	3,17	12,70	0	0	0	0	1100	ffff	FIXED
06-day-south	3,17	12,70	3	198	15	14	112c	112c	PASS
06-day-south	3,17	12,70	5	202	15	2	1140	ffff	FAIL
07-day-return	3,17	12,60	0	0	0	0	1100	ffff	FIXED
07-day-return	3,17	12,60	1	29	2	2	1103	ffff	FIXED
07-day-return	3,17	12,60	2	22	15	13	1139	1139	PASS
07-day-return	3,17	12,60	3	198	15	14	112c	112c	PASS
07-day-return	3,17	12,60	4	18	15	13	1139	1139	PASS
08-day-repeat	3,17	12,70	0	0	0	0	1100	ffff	FIXED
08-day-repeat	3,17	12,70	3	198	15	14	112c	112c	PASS
08-day-repeat	3,17	12,70	5	202	15	2	1140	ffff	FAIL
