TRAINER_LEADER_GIOVANNI	1	SPADE	??????????	FAIL
TRAINER_LEADER_GIOVANNI	2	TRIO	??????????	FAIL
TRAINER_LEADER_GIOVANNI	3	KEEPSAKE	??????????	FAIL
TRAINER_LEADER_GIOVANNI	4	REGINA	??????????	FAIL
TRAINER_LEADER_GIOVANNI	5	REX	??????????	FAIL
TRAINER_LEADER_GIOVANNI	6	BASTION	??????????	FAIL
TRAINER_LEADER_BROCK_1	1	PEBBLE	PEBBLE	PASS
TRAINER_LEADER_BROCK_1	2	CHIP	CHIP	PASS
TRAINER_LEADER_BROCK_2	1	CHIP	??????????	FAIL
TRAINER_LEADER_BROCK_2	2	PEBBLE	??????????	FAIL
TRAINER_LEADER_BROCK_2	3	PICKLE	??????????	FAIL
TRAINER_LEADER_BROCK_3	1	PICKLE	PICKLE	PASS
TRAINER_LEADER_BROCK_3	2	PEBBLE	PEBBLE	PASS
TRAINER_LEADER_BROCK_3	3	CHIP	CHIP	PASS
TRAINER_LEADER_BROCK_4	1	CHIP	CHIP	PASS
TRAINER_LEADER_BROCK_4	2	PEBBLE	PEBBLE	PASS
TRAINER_LEADER_BROCK_4	3	PICKLE	PICKLE	PASS
TRAINER_LEADER_BROCK_4	4	CHISEL	CHISEL	PASS
TRAINER_LEADER_BROCK_5	1	CHISEL	CHISEL	PASS
TRAINER_LEADER_BROCK_5	2	SPIRAL	SPIRAL	PASS
TRAINER_LEADER_BROCK_5	3	PICKLE	PICKLE	PASS
TRAINER_LEADER_BROCK_5	4	PEBBLE	PEBBLE	PASS
TRAINER_LEADER_BROCK_5	5	CHIP	CHIP	PASS
TRAINER_LEADER_BROCK_6	1	PEBBLE	PEBBLE	PASS
TRAINER_LEADER_BROCK_6	2	CHIP	CHIP	PASS
TRAINER_LEADER_BROCK_6	3	SPIRAL	SPIRAL	PASS
TRAINER_LEADER_BROCK_6	4	CHISEL	CHISEL	PASS
TRAINER_LEADER_BROCK_6	5	PICKLE	PICKLE	PASS
TRAINER_LEADER_BROCK_7	1	PICKLE	??????????	FAIL
TRAINER_LEADER_BROCK_7	2	FLINT	??????????	FAIL
TRAINER_LEADER_BROCK_7	3	SPIRAL	??????????	FAIL
TRAINER_LEADER_BROCK_7	4	CHISEL	??????????	FAIL
TRAINER_LEADER_BROCK_7	5	CHIP	??????????	FAIL
TRAINER_LEADER_BROCK_7	6	PEBBLE	??????????	FAIL
TRAINER_LEADER_MISTY_1	1	TWINKLE	TWINKLE	PASS
