01-route7-north	3,17	12,60	0	0	0	0	1100	ffff	FIXED
01-route7-north	3,17	12,60	1	18	15	13	1139	1139	PASS
01-route7-north	3,17	12,60	2	58	5	5	1106	ffff	FIXED
01-route7-north	3,17	12,60	3	29	2	2	1103	ffff	FIXED
01-route7-north	3,17	12,60	4	198	15	14	112c	112c	PASS
01-route7-north	3,17	12,60	5	22	15	13	1139	1139	PASS
02-route7-south	3,17	12,70	0	0	0	0	1100	ffff	FIXED
02-route7-south	3,17	12,70	4	198	15	14	112c	112c	PASS
02-route7-south	3,17	12,70	6	40	15	2	1143	ffff	FAIL
02-route7-south	3,17	12,70	7	202	15	2	1140	ffff	FAIL
03-route7-return	3,17	12,60	0	0	0	0	1100	ffff	FIXED
03-route7-return	3,17	12,60	1	29	2	2	1103	ffff	FIXED
03-route7-return	3,17	12,60	2	22	15	13	1139	1139	PASS
03-route7-return	3,17	12,60	3	58	5	5	1106	ffff	FIXED
03-route7-return	3,17	12,60	4	198	15	14	112c	112c	PASS
03-route7-return	3,17	12,60	5	18	15	13	1139	1139	PASS
04-route7-repeat	3,17	12,70	0	0	0	0	1100	ffff	FIXED
04-route7-repeat	3,17	12,70	4	198	15	14	112c	112c	PASS
04-route7-repeat	3,17	12,70	6	40	15	2	1143	ffff	FAIL
04-route7-repeat	3,17	12,70	7	202	15	2	1140	ffff	FAIL
05-oaks-lab	4,3	6,9	0	0	0	0	1100	ffff	FIXED
05-oaks-lab	4,3	6,9	1	55	15	13	1135	1135	PASS
05-oaks-lab	4,3	6,9	2	48	4	4	1105	ffff	FIXED
05-oaks-lab	4,3	6,9	3	55	15	13	1135	1135	PASS
05-oaks-lab	4,3	6,9	4	71	10	10	111c	ffff	FIXED
05-oaks-lab	4,3	6,9	5	92	5	5	1106	ffff	FIXED
05-oaks-lab	4,3	6,9	6	58	5	5	1106	ffff	FIXED
06-route3-youngsters	3,13	18,9	0	0	0	0	1100	ffff	FIXED
06-route3-youngsters	3,13	18,9	1	56	15	13	1130	1130	PASS
06-route3-youngsters	3,13	18,9	2	18	15	14	1139	1139	PASS
06-route3-youngsters	3,13	18,9	3	58	5	5	1106	ffff	FIXED
06-route3-youngsters	3,13	18,9	4	22	15	14	1139	1139	PASS
07-forest-breeders-scouts	1,0	21,55	0	0	0	0	1100	ffff	FIXED
07-forest-breeders-scouts	1,0	21,55	1	18	15	13	1139	1139	PASS
07-forest-breeders-scouts	1,0	21,55	2	156	6	6	1122	ffff	FIXED
08-forest-ranger	1,0	54,21	0	0	0	0	1100	ffff	FIXED
08-forest-ranger	1,0	54,21	1	20	10	10	111e	ffff	FIXED
08-forest-ranger	1,0	54,21	2	92	5	5	1106	ffff	FIXED
08-forest-ranger	1,0	54,21	3	155	11	11	1121	ffff	FIXED
09-celadon-trendsetters	3,6	10,18	0	0	0	0	1100	ffff	FIXED
09-celadon-trendsetters	3,6	10,18	1	17	3	3	1104	ffff	FIXED
09-celadon-trendsetters	3,6	10,18	2	28	5	5	1106	ffff	FIXED
09-celadon-trendsetters	3,6	10,18	3	29	2	2	1103	ffff	FIXED
09-celadon-trendsetters	3,6	10,18	4	29	2	2	1103	ffff	FIXED
09-celadon-trendsetters	3,6	10,18	5	198	15	13	112c	112c	PASS
10-celadon-gym	10,16	6,10	0	0	0	0	1100	ffff	FIXED
10-celadon-gym	10,16	6,10	1	83	2	2	1103	ffff	FIXED
10-celadon-gym	10,16	6,10	2	29	2	2	1103	ffff	FIXED
10-celadon-gym	10,16	6,10	3	184	7	7	1124	ffff	FIXED
10-celadon-gym	10,16	6,10	4	184	7	7	1124	ffff	FIXED
10-celadon-gym	10,16	6,10	5	184	7	7	1124	ffff	FIXED
10-celadon-gym	10,16	6,10	6	184	7	7	1124	ffff	FIXED
10-celadon-gym	10,16	6,10	7	156	6	6	1122	ffff	FIXED
10-celadon-gym	10,16	6,10	8	156	6	6	1122	ffff	FIXED
11-fuchsia-janine-ninjas	11,3	7,12	0	0	0	0	1100	ffff	FIXED
11-fuchsia-janine-ninjas	11,3	7,12	1	84	5	5	1106	ffff	FIXED
11-fuchsia-janine-ninjas	11,3	7,12	2	203	15	13	1141	1141	PASS
11-fuchsia-janine-ninjas	11,3	7,12	3	204	15	14	1145	1145	PASS
11-fuchsia-janine-ninjas	11,3	7,12	4	204	15	14	1145	1145	PASS
11-fuchsia-janine-ninjas	11,3	7,12	5	204	15	14	1145	1145	PASS
11-fuchsia-janine-ninjas	11,3	7,12	6	204	15	14	1145	1145	PASS
12-saffron-psychics	14,3	14,6	0	0	0	0	1100	ffff	FIXED
12-saffron-psychics	14,3	14,6	1	85	2	2	1103	ffff	FIXED
12-saffron-psychics	14,3	14,6	2	202	15	13	1140	1140	PASS
12-saffron-psychics	14,3	14,6	3	202	15	13	1140	1140	PASS
12-saffron-psychics	14,3	14,6	4	23	4	4	1105	ffff	FIXED
13-route9-west	3,19	25,22	0	0	0	0	1100	ffff	FIXED
13-route9-west	3,19	25,22	1	56	15	13	1130	1130	PASS
14-route9-east	3,19	52,22	0	0	0	0	1100	ffff	FIXED
14-route9-east	3,19	52,22	1	56	15	13	1130	1130	PASS
14-route9-east	3,19	52,22	2	24	15	14	1144	1144	PASS
14-route9-east	3,19	52,22	3	39	15	15	1143	1143	PASS
