551824	12,66	2	0
551825	12,66	2	0
551826	12,66	2	0
551827	12,66	2	0
551828	12,66	2	0
551829	12,66	2	0
551830	12,66	2	0
551831	12,66	2	0
551832	12,65	2	0
551833	12,65	2	0
552081	12,66	2	0
552082	12,66	2	0
552083	12,66	2	0
552084	12,66	2	0
552085	12,66	2	0
552086	12,66	2	0
552087	12,66	2	0
552088	12,66	2	0
552089	12,65	2	0
552090	12,65	2	0
552329	12,66	2	0
552330	12,66	2	0
552331	12,66	2	0
552332	12,66	2	0
552333	12,66	2	0
552334	12,66	2	0
552335	12,66	2	0
552336	12,66	2	0
552337	12,65	2	0
552338	12,65	2	0
