01-night-north	1,82	12,13	0	2	0	1	1100	0007	FIXED
01-night-north	1,82	12,13	2	92	5	0	1106	0006	FIXED
stalled-3	1,82	12,16	0	2	0	0	1100	ffff	FIXED
stalled-3	1,82	12,16	2	92	5	5	1106	ffff	FIXED
01-night-north	3,17	12,60	0	0	0	0	1100	ffff	FIXED
01-night-north	3,17	12,60	1	18	15	13	1139	1139	PASS
01-night-north	3,17	12,60	2	29	2	2	1103	ffff	FIXED
01-night-north	3,17	12,60	3	198	15	14	112c	112c	PASS
01-night-north	3,17	12,60	4	22	15	13	1139	1139	PASS
02-night-south	3,17	12,70	0	0	0	0	1100	ffff	FIXED
02-night-south	3,17	12,70	3	198	15	14	112c	112c	PASS
02-night-south	3,17	12,70	5	202	15	13	1140	1140	PASS
03-night-return	3,17	12,60	0	0	0	0	1100	ffff	FIXED
03-night-return	3,17	12,60	1	29	2	2	1103	ffff	FIXED
03-night-return	3,17	12,60	2	22	15	13	1139	1139	PASS
03-night-return	3,17	12,60	3	198	15	14	112c	112c	PASS
03-night-return	3,17	12,60	4	18	15	13	1139	1139	PASS
04-night-repeat	3,17	12,70	0	0	0	0	1100	ffff	FIXED
04-night-repeat	3,17	12,70	3	198	15	14	112c	112c	PASS
04-night-repeat	3,17	12,70	5	202	15	13	1140	1140	PASS
05-day-north	3,17	12,60	0	0	0	0	1100	ffff	FIXED
05-day-north	3,17	12,60	1	18	15	13	1139	1139	PASS
05-day-north	3,17	12,60	2	29	2	2	1103	ffff	FIXED
05-day-north	3,17	12,60	3	198	15	14	112c	112c	PASS
05-day-north	3,17	12,60	4	22	15	13	1139	1139	PASS
06-day-south	3,17	12,70	0	0	0	0	1100	ffff	FIXED
06-day-south	3,17	12,70	3	198	15	14	112c	112c	PASS
06-day-south	3,17	12,70	5	202	15	13	1140	1140	PASS
07-day-return	3,17	12,60	0	0	0	0	1100	ffff	FIXED
07-day-return	3,17	12,60	1	29	2	2	1103	ffff	FIXED
07-day-return	3,17	12,60	2	22	15	13	1139	1139	PASS
07-day-return	3,17	12,60	3	198	15	14	112c	112c	PASS
07-day-return	3,17	12,60	4	18	15	13	1139	1139	PASS
08-day-repeat	3,17	12,70	0	0	0	0	1100	ffff	FIXED
08-day-repeat	3,17	12,70	3	198	15	14	112c	112c	PASS
08-day-repeat	3,17	12,70	5	202	15	13	1140	1140	PASS
09-route9-entry	3,19	52,22	0	0	0	0	1100	ffff	FIXED
09-route9-entry	3,19	52,22	1	56	15	13	1130	1130	PASS
09-route9-entry	3,19	52,22	2	24	15	14	1144	1144	PASS
09-route9-entry	3,19	52,22	3	39	15	15	1143	1143	PASS
09-route9-entry	3,19	52,22	4	40	15	15	1143	1143	PASS
10-route9-east	3,19	52,22	0	0	0	0	1100	ffff	FIXED
10-route9-east	3,19	52,22	1	56	15	13	1130	1130	PASS
10-route9-east	3,19	52,22	2	24	15	14	1144	1144	PASS
10-route9-east	3,19	52,22	3	39	15	15	1143	1143	PASS
10-route9-east	3,19	52,22	4	40	15	15	1143	1143	PASS
11-route9-west	3,19	50,22	0	0	0	0	1100	ffff	FIXED
11-route9-west	3,19	50,22	2	24	15	14	1144	1144	PASS
11-route9-west	3,19	50,22	3	39	15	15	1143	1143	PASS
11-route9-west	3,19	50,22	4	40	15	15	1143	1143	PASS
12-route9-repeat	3,19	52,22	0	0	0	0	1100	ffff	FIXED
12-route9-repeat	3,19	52,22	1	56	15	13	1130	1130	PASS
12-route9-repeat	3,19	52,22	2	24	15	14	1144	1144	PASS
12-route9-repeat	3,19	52,22	3	39	15	15	1143	1143	PASS
12-route9-repeat	3,19	52,22	4	40	15	15	1143	1143	PASS
13-lab-before	4,3	6,6	0	0	0	0	1100	ffff	FIXED
13-lab-before	4,3	6,6	1	55	15	13	1135	1135	PASS
13-lab-before	4,3	6,6	2	48	4	4	1105	ffff	FIXED
13-lab-before	4,3	6,6	3	55	15	13	1135	1135	PASS
13-lab-before	4,3	6,6	4	71	10	10	111c	ffff	FIXED
13-lab-before	4,3	6,6	5	92	5	5	1106	ffff	FIXED
13-lab-before	4,3	6,6	6	72	15	14	112b	112b	PASS
13-lab-before	4,3	6,6	7	58	5	5	1106	ffff	FIXED
14-lab-after-battle	4,3	6,6	0	0	0	0	1100	ffff	FIXED
14-lab-after-battle	4,3	6,6	1	55	15	13	1135	1135	PASS
14-lab-after-battle	4,3	6,6	2	48	4	4	1105	ffff	FIXED
14-lab-after-battle	4,3	6,6	3	55	15	13	1135	1135	PASS
14-lab-after-battle	4,3	6,6	4	71	10	10	111c	ffff	FIXED
14-lab-after-battle	4,3	6,6	5	92	5	5	1106	ffff	FIXED
14-lab-after-battle	4,3	6,6	6	72	15	14	112b	112b	PASS
14-lab-after-battle	4,3	6,6	7	58	5	5	1106	ffff	FIXED
