first-rumour	3,1	20,13	0001	0000	Tangrowth:0/0
two-natural-tangrowth-rumours	3,12	7,53	0003	0000	Tangrowth:0/0
post-silph-cubone-clue	3,10	22,22	1003	0000	Tangrowth:0/0
three-clues-nikki-battle-skipped	1,0	20,45	1007	0000	Tangrowth:0/0
apex-battle-started	1,0	34,33	1007	0000	Tangrowth:1/0
tangrowth-test-outcome	1,0	34,33	1007	0000	Tangrowth:1/0
lance-scene-complete	1,90	10,5	1007	0000	Tangrowth:1/0
lance-closed-recheck	1,90	10,5	1007	0000	Tangrowth:1/0
lance-paced-completion	1,90	10,5	1807	0000	Tangrowth:1/0
lance-paced-completion	1,90	10,5	1807	0000	Tangrowth:1/0
mewtwo-defeated-ending-complete	1,70	7,13	1807	0000	Tangrowth:1/0
