(22, 13, 1, 3)
(23, 13, 1, 3)
(24, 13, 1, 3)
(38, 13, 1, 3)
(39, 13, 1, 3)
(40, 13, 1, 3)
(21, 14, 1, 3)
(27, 14, 1, 3)
(28, 14, 1, 3)
(29, 14, 1, 3)
(30, 14, 1, 3)
(31, 14, 1, 3)
(32, 14, 1, 3)
(33, 14, 1, 3)
(26, 15, 4, 3)
(34, 15, 4, 3)
(35, 15, 4, 3)
(36, 15, 4, 3)
(41, 15, 8, 3)
(41, 16, 4, 3)
(41, 17, 1, 3)
(18, 18, 4, 3)
(44, 19, 8, 3)
(18, 21, 4, 3)
(18, 24, 2, 3)
(18, 25, 2, 3)
(34, 25, 1, 3)
(34, 26, 1, 3)
(34, 27, 1, 3)
(34, 28, 1, 3)
(14, 30, 2, 3)
(45, 30, 1, 3)
(12, 31, 4, 3)
(13, 31, 4, 3)
(31, 31, 11, 3)
(32, 31, 11, 3)
(45, 31, 8, 3)
(46, 32, 4, 3)
(10, 33, 1, 3)
(47, 33, 1, 3)
(48, 34, 4, 3)
(8, 35, 1, 3)
(49, 35, 8, 3)
(50, 36, 4, 3)
(6, 37, 1, 3)
(51, 37, 4, 3)
(52, 38, 4, 3)
(53, 39, 8, 3)
(2, 44, 1, 3)
(57, 45, 1, 3)
(10, 47, 1, 3)
(10, 48, 1, 3)
(10, 49, 1, 3)
(44, 50, 1, 3)
(44, 51, 1, 3)
(50, 51, 1, 3)
(61, 51, 4, 3)
(44, 52, 1, 3)
(50, 52, 1, 3)
(61, 52, 4, 3)
(45, 53, 1, 3)
(50, 53, 1, 3)
(61, 53, 4, 3)
(45, 54, 1, 3)
(61, 54, 8, 3)
(45, 55, 1, 3)
(61, 55, 8, 3)
(45, 56, 1, 3)
(62, 56, 4, 3)
(45, 57, 1, 3)
(62, 57, 4, 3)
(45, 58, 4, 3)
(62, 58, 4, 3)
(2, 59, 1, 3)
(45, 59, 2, 3)
(2, 60, 1, 3)
(45, 60, 8, 3)
(45, 61, 8, 3)
(45, 62, 2, 3)
